,estimator,min_score,mean_score,max_score,std_score,C,gamma,kernel,n_neighbors,weights,max_depth,max_features,min_samples_split,n_estimators,learning_rate,min_samples_leaf,loss,alpha,l1_ratio,max_iter
1895,DecisionTreeRegressor,0.483868396,0.580645668,0.762294082,0.128536762,NAN,NAN,NAN,,,556,log2,,,,,,,,
2992,DecisionTreeRegressor,0.549074407,0.580520971,0.625057156,0.032371265,NAN,NAN,NAN,,,922,sqrt,,,,,,,,
314,DecisionTreeRegressor,0.526965606,0.580497267,0.618432758,0.038935762,NAN,NAN,NAN,,,29,log2,,,,,,,,
548,DecisionTreeRegressor,0.553308895,0.580495976,0.60368065,0.020758017,NAN,NAN,NAN,,,107,log2,,,,,,,,
1477,DecisionTreeRegressor,0.465440976,0.580397431,0.732257596,0.112009494,NAN,NAN,NAN,,,417,sqrt,,,,,,,,
1013,DecisionTreeRegressor,0.479028516,0.580388271,0.750719713,0.121166131,NAN,NAN,NAN,,,262,log2,,,,,,,,
674,DecisionTreeRegressor,0.507906286,0.58019959,0.619874401,0.051200191,NAN,NAN,NAN,,,149,log2,,,,,,,,
3104,DecisionTreeRegressor,0.574704297,0.580111303,0.586778846,0.005009351,NAN,NAN,NAN,,,959,log2,,,,,,,,
3417,ElasticNet,0.514078808,0.580081948,0.620741372,0.04708824,NAN,NAN,NAN,,,,,,,,,,10,0,5
844,DecisionTreeRegressor,0.460124659,0.580076522,0.644348746,0.084891284,NAN,NAN,NAN,,,206,sqrt,,,,,,,,
629,DecisionTreeRegressor,0.412836216,0.579924052,0.769842546,0.146638579,NAN,NAN,NAN,,,134,log2,,,,,,,,
1616,DecisionTreeRegressor,0.466795872,0.579844101,0.772948318,0.137207996,NAN,NAN,NAN,,,463,log2,,,,,,,,
2471,DecisionTreeRegressor,0.483329944,0.579592945,0.645404376,0.069582105,NAN,NAN,NAN,,,748,log2,,,,,,,,
656,DecisionTreeRegressor,0.372748427,0.579497441,0.744909777,0.154720303,NAN,NAN,NAN,,,143,log2,,,,,,,,
2335,DecisionTreeRegressor,0.455824515,0.57946426,0.662922378,0.08919381,NAN,NAN,NAN,,,703,sqrt,,,,,,,,
2040,DecisionTreeRegressor,0.337952643,0.579424182,0.769917433,0.179995341,NAN,NAN,NAN,,,604,,,,,,,,,
580,DecisionTreeRegressor,0.486486482,0.579266535,0.72181886,0.102317452,NAN,NAN,NAN,,,118,sqrt,,,,,,,,
839,DecisionTreeRegressor,0.467813083,0.57916392,0.66542316,0.082601965,NAN,NAN,NAN,,,204,log2,,,,,,,,
2170,DecisionTreeRegressor,0.52935657,0.57910943,0.648554325,0.05061527,NAN,NAN,NAN,,,648,sqrt,,,,,,,,
1163,DecisionTreeRegressor,0.406862313,0.579106687,0.726749852,0.13174704,NAN,NAN,NAN,,,312,log2,,,,,,,,
1776,DecisionTreeRegressor,0.349978727,0.579080521,0.756736301,0.169995981,NAN,NAN,NAN,,,516,,,,,,,,,
